Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Stemmer,"Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735113/stemmer,2.2,-1,"Sport, TR",5.10b,1,50,37.88859,-122.63268
Siguapa,"Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121561927/siguapa,2.6,-1,"Sport, TR",5.10b/c,1,45,37.88859,-122.63268
"Walkin' a Thin Line","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734882/walkin-a-thin-line,2.5,-1,"Sport, TR","5.10c R",1,60,37.88859,-122.63268
Torque,"Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735101/torque,2.0,-1,"Sport, TR","5.11d R",1,50,37.88859,-122.63268
Nancy,"Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/111920559/nancy,2.9,-1,Sport,5.11d,1,45,37.88859,-122.63268
"Hot Tuna","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735479/hot-tuna,2.8,-1,Sport,5.12a,1,30,37.88859,-122.63268
"Moby Dick","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736238/moby-dick,2.7,-1,Sport,5.12a,1,30,37.88859,-122.63268
Courtney,"Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/106183986/courtney,3.5,-1,Sport,5.12a,1,60,37.88859,-122.63268
Pelicans,"Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734888/pelicans,2.1,-1,"Sport, TR",5.12b,1,60,37.88859,-122.63268
Rancor,"Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/122700551/rancor,3.0,-1,Sport,5.12,1,50,37.88859,-122.63268
"Ocean Monster","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/117527870/ocean-monster,2.6,-1,Sport,5.12b/c,1,45,37.88859,-122.63268
"Scorpio Rising","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/116081949/scorpio-rising,4.0,-1,Sport,5.12c,1,50,37.88859,-122.63268
"Sex Porpoises","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735098/sex-porpoises,3.6,-1,Sport,5.12c,1,60,37.88859,-122.63268
"Wet Dreams","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735851/wet-dreams,2.7,-1,Sport,5.12c/d,1,50,37.88859,-122.63268
Megalodon,"Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/113217557/megalodon,3.9,-1,Sport,5.12d,1,45,37.88859,-122.63268
"Big Tuna","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/109028964/big-tuna,3.7,-1,Sport,"5.12d R",1,65,37.88859,-122.63268
"Motion In The Ocean","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/111222335/motion-in-the-ocean,3.0,-1,Sport,5.12d,1,60,37.88859,-122.63268
"Gidget (Meets the Turgid Seamonster)","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/111295272/gidget-meets-the-turgid-seamonster,3.3,-1,Sport,"5.12d PG13",1,60,37.88859,-122.63268
"Holy Mackerel","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/107198652/holy-mackerel,3.7,-1,Sport,5.13a,1,55,37.88859,-122.63268
"Squid Vicious","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/112317453/squid-vicious,3.7,-1,Sport,5.13a,1,50,37.88859,-122.63268
Scurvy,"Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/120278481/scurvy,1.0,-1,Sport,5.13a,1,65,37.88859,-122.63268
"Naked and Disfigured","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735287/naked-and-disfigured,3.4,-1,"Sport, TR","5.13a R",1,50,37.88859,-122.63268
Sturgeon,"Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/120483930/sturgeon,3.3,-1,Sport,5.13-,1,60,37.88859,-122.63268
Mutiny,"Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/112059985/mutiny,3.3,-1,Sport,5.13a/b,1,60,37.88859,-122.63268
"Mickey's Beach Arete","Main Rock > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/112060004/mickeys-beach-arete,4.0,-1,Sport,5.13b,1,50,37.88859,-122.63268
